// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : MuServer1.02nSeason2+ Viciados         \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//==========================================================================
//Project: NaMEch
//Sources: NaM4 
//Re-Struct & Fixes: Echy-
//Information: Spots de Mobs
//=========================================================================

// 0 - Guardias / NPC / Trampas
// 1 - Spots
// 2 - Mobs normales
// 3 - Bone King / Dorados
// 4 - Blood Castle Mobs / Gates / Otros

//=========================================================================================
//======================================= Invasion Dorados =================================
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	2	// Golden Budge Dragon
44	0	30	182	128	195	145	-1	3	// Golden Dragon
53	0	30	185	132	185	132	-1	1	// Golden Titan
55	0	30	132	83	132	83	-1	1	// Death King
54	0	30	183	128	188	135	-1	3	// Golden Soldier
56	0	30	132	83	138	90	-1	5	// Death Bone
78	0	30	10	10	240	240	-1	4	// Golden Goblin
79	0	30	10	10	240	240	-1	3	// Golden Dragon
80	0	30	185	132	185	132	-1	3	// Golden Lizard King
81	0	30	132	83	132	83	-1	5	// Golden Vepar
82	0	30	183	128	188	135	-1	2	// Golden Tantallos
83	0	30	132	83	138	90	-1	8	// Golden Iron Wheel
end

//=========================================================================================						
//================================= Lorencia NPCs - ======================================						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
247	0	0	146	129	2	// NPC Reset Guard
52	7	30	93	136	-1	//Silver Valkyrie
52	7	30	90	148	-1	//Silver Valkyrie
52	7	30	124	125	-1	//Silver Valkyrie
52	7	30	87	132	-1	//Silver Valkyrie
52	7	30	86	140	-1	//Silver Valkyrie
52	7	30	78	145	-1	//Silver Valkyrie
52	7	30	79	136	-1	//Silver Valkyrie
52	7	30	67	147	-1	//Silver Valkyrie
52	7	30	71	140	-1	//Silver Valkyrie
52	7	30	105	137	-1	//Silver Valkyrie
52	7	30	81	164	-1	//Silver Valkyrie
52	7	30	70	168	-1	//Silver Valkyrie
52	7	30	76	174	-1	//Silver Valkyrie
52	7	30	85	185	-1	//Silver Valkyrie
52	7	30	87	175	-1	//Silver Valkyrie
end

//=========================================================================================							
//================================= Tarkan - =============================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
57	8	30	123	73	-1	//Iron Wheel
57	8	30	81	63	-1	//Iron Wheel
57	8	30	70	57	-1	//Iron Wheel
57	8	30	65	64	-1	//Iron Wheel
57	8	30	64	71	-1	//Iron Wheel
57	8	30	56	75	-1	//Iron Wheel
57	8	30	46	71	-1	//Iron Wheel
57	8	30	38	71	-1	//Iron Wheel
57	8	30	35	62	-1	//Iron Wheel
57	8	30	27	75	-1	//Iron Wheel
57	8	30	34	78	-1	//Iron Wheel
57	8	30	25	83	-1	//Iron Wheel
57	8	30	21	92	-1	//Iron Wheel
57	8	30	38	98	-1	//Iron Wheel
57	8	30	48	99	-1	//Iron Wheel
57	8	30	55	100	-1	//Iron Wheel
57	8	30	62	91	-1	//Iron Wheel
57	8	30	70	92	-1	//Iron Wheel
57	8	30	79	89	-1	//Iron Wheel
57	8	30	85	91	-1	//Iron Wheel
57	8	30	89	71	-1	//Iron Wheel
57	8	30	90	50	-1	//Iron Wheel
57	8	30	114	78	-1	//Iron Wheel
58	8	30	8	219	-1	//Tantallos
58	8	30	18	238	-1	//Tantallos
58	8	30	38	87	-1	//Tantallos
58	8	30	69	120	-1	//Tantallos
58	8	30	61	121	-1	//Tantallos
58	8	30	54	120	-1	//Tantallos
58	8	30	43	121	-1	//Tantallos
58	8	30	35	121	-1	//Tantallos
58	8	30	24	120	-1	//Tantallos
58	8	30	18	127	-1	//Tantallos
58	8	30	25	127	-1	//Tantallos
58	8	30	32	132	-1	//Tantallos
58	8	30	29	98	-1	//Tantallos
58	8	30	42	134	-1	//Tantallos
58	8	30	35	141	-1	//Tantallos
58	8	30	26	149	-1	//Tantallos
58	8	30	26	160	-1	//Tantallos
58	8	30	33	157	-1	//Tantallos
58	8	30	40	150	-1	//Tantallos
58	8	30	52	138	-1	//Tantallos
58	8	30	61	134	-1	//Tantallos
58	8	30	75	133	-1	//Tantallos
58	8	30	81	126	-1	//Tantallos
58	8	30	87	120	-1	//Tantallos
58	8	30	77	118	-1	//Tantallos
58	8	30	96	123	-1	//Tantallos
58	8	30	107	119	-1	//Tantallos
58	8	30	112	124	-1	//Tantallos
58	8	30	119	139	-1	//Tantallos
58	8	30	107	139	-1	//Tantallos
58	8	30	105	130	-1	//Tantallos
58	8	30	107	149	-1	//Tantallos
58	8	30	86	131	-1	//Tantallos
58	8	30	76	145	-1	//Tantallos
58	8	30	69	139	-1	//Tantallos
58	8	30	60	143	-1	//Tantallos
58	8	30	52	157	-1	//Tantallos
58	8	30	52	165	-1	//Tantallos
58	8	30	45	175	-1	//Tantallos
58	8	30	33	168	-1	//Tantallos
58	8	30	35	175	-1	//Tantallos
58	8	30	42	164	-1	//Tantallos
58	8	30	64	164	-1	//Tantallos
58	8	30	79	156	-1	//Tantallos
58	8	30	93	137	-1	//Tantallos
58	8	30	115	154	-1	//Tantallos
58	8	30	124	152	-1	//Tantallos
58	8	30	129	141	-1	//Tantallos
58	8	30	125	129	-1	//Tantallos
58	8	30	124	161	-1	//Tantallos
58	8	30	115	168	-1	//Tantallos
58	8	30	120	177	-1	//Tantallos
58	8	30	98	193	-1	//Tantallos
58	8	30	71	184	-1	//Tantallos
58	8	30	176	214	-1	//Tantallos
58	8	30	160	203	-1	//Tantallos
58	8	30	24	212	-1	//Tantallos
58	8	30	27	229	-1	//Tantallos
58	8	30	36	225	-1	//Tantallos
58	8	30	42	244	-1	//Tantallos
58	8	30	22	244	-1	//Tantallos
58	8	30	52	204	-1	//Tantallos
58	8	30	165	219	-1	//Tantallos
59	8	30	11	241	-1	//Zaikan
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
60	8	30	115	80	-1	//Bloody Wolf
61	8	30	7	205	-1	//Vim Knight
61	8	30	5	214	-1	//Vim Knight
61	8	30	6	228	-1	//Vim Knight
61	8	30	72	167	-1	//Vim Knight
61	8	30	83	176	-1	//Vim Knight
61	8	30	63	173	-1	//Vim Knight
61	8	30	11	234	-1	//Vim Knight
61	8	30	73	125	-1	//Vim Knight
61	8	30	131	178	-1	//Vim Knight
61	8	30	127	171	-1	//Vim Knight
61	8	30	127	188	-1	//Vim Knight
61	8	30	121	196	-1	//Vim Knight
61	8	30	123	208	-1	//Vim Knight
61	8	30	121	217	-1	//Vim Knight
61	8	30	106	225	-1	//Vim Knight
61	8	30	109	217	-1	//Vim Knight
61	8	30	102	212	-1	//Vim Knight
61	8	30	98	207	-1	//Vim Knight
61	8	30	88	208	-1	//Vim Knight
61	8	30	80	207	-1	//Vim Knight
61	8	30	78	198	-1	//Vim Knight
61	8	30	88	189	-1	//Vim Knight
61	8	30	83	185	-1	//Vim Knight
61	8	30	73	179	-1	//Vim Knight
61	8	30	161	188	-1	//Vim Knight
61	8	30	114	209	-1	//Vim Knight
61	8	30	153	187	-1	//Vim Knight
61	8	30	166	190	-1	//Vim Knight
61	8	30	159	195	-1	//Vim Knight
61	8	30	172	195	-1	//Vim Knight
61	8	30	179	194	-1	//Vim Knight
61	8	30	183	201	-1	//Vim Knight
61	8	30	177	207	-1	//Vim Knight
61	8	30	173	221	-1	//Vim Knight
61	8	30	161	218	-1	//Vim Knight
61	8	30	157	214	-1	//Vim Knight
61	8	30	153	209	-1	//Vim Knight
61	8	30	150	203	-1	//Vim Knight
61	8	30	167	225	-1	//Vim Knight
61	8	30	93	150	-1	//Vim Knight
61	8	30	169	204	-1	//Vim Knight
61	8	30	44	213	-1	//Vim Knight
61	8	30	39	210	-1	//Vim Knight
61	8	30	31	207	-1	//Vim Knight
61	8	30	31	236	-1	//Vim Knight
61	8	30	29	245	-1	//Vim Knight
61	8	30	50	241	-1	//Vim Knight
61	8	30	50	230	-1	//Vim Knight
61	8	30	43	222	-1	//Vim Knight
61	8	30	29	220	-1	//Vim Knight
61	8	30	15	218	-1	//Vim Knight
61	8	30	19	205	-1	//Vim Knight
61	8	30	11	246	-1	//Vim Knight
61	8	30	6	240	-1	//Vim Knight
61	8	30	157	224	-1	//Vim Knight
61	8	30	85	141	-1	//Vim Knight
62	8	30	146	53	-1	//Mutant
62	8	30	148	43	-1	//Mutant
62	8	30	155	40	-1	//Mutant
62	8	30	134	57	-1	//Mutant
62	8	30	151	34	-1	//Mutant
62	8	30	149	28	-1	//Mutant
62	8	30	141	74	-1	//Mutant
62	8	30	142	68	-1	//Mutant
62	8	30	141	24	-1	//Mutant
62	8	30	137	20	-1	//Mutant
62	8	30	132	15	-1	//Mutant
62	8	30	134	82	-1	//Mutant
62	8	30	135	89	-1	//Mutant
62	8	30	136	96	-1	//Mutant
62	8	30	148	91	-1	//Mutant
62	8	30	157	89	-1	//Mutant
62	8	30	158	80	-1	//Mutant
62	8	30	154	73	-1	//Mutant
62	8	30	162	101	-1	//Mutant
62	8	30	161	110	-1	//Mutant
62	8	30	171	116	-1	//Mutant
62	8	30	180	112	-1	//Mutant
62	8	30	190	112	-1	//Mutant
62	8	30	197	108	-1	//Mutant
62	8	30	205	105	-1	//Mutant
62	8	30	186	120	-1	//Mutant
62	8	30	173	129	-1	//Mutant
62	8	30	169	136	-1	//Mutant
62	8	30	162	141	-1	//Mutant
62	8	30	159	148	-1	//Mutant
62	8	30	151	155	-1	//Mutant
62	8	30	152	147	-1	//Mutant
62	8	30	152	133	-1	//Mutant
62	8	30	162	129	-1	//Mutant
62	8	30	152	125	-1	//Mutant
62	8	30	152	116	-1	//Mutant
62	8	30	171	106	-1	//Mutant
62	8	30	151	101	-1	//Mutant
62	8	30	142	100	-1	//Mutant
62	8	30	140	37	-1	//Mutant
62	8	30	133	65	-1	//Mutant
63	8	30	161	225	-1	//Death Beam Knight
end

//=========================================================================================							
//================================= Devil Square - =======================================							
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
//DevilSquare 1 Mobs										
17	9	30	119	80	150	115	-1	35	//Cyclops
15	9	30	119	80	150	115	-1	35	//Skeleton Archer
//DevilSquare 2 Mobs										
10	9	30	121	152	151	184	-1	35	//Dark Knight
39	9	30	121	152	151	184	-1	35	//Poison Shadow
//DevilSquare 3 Mobs										
41	9	30	49	138	79	173	-1	35	//Death Cow
37	9	30	49	138	79	173	-1	35	//Devil
//DevilSquare 4 Mobs										
64	9	30	53	74	83	109	-1	35	//Orc Archer
65	9	30	53	74	83	109	-1	35	//Elite Orc
//DevilSquare 5 Mobs										
294	32	30	120	80	150	115	-1	35	//Axe Warrior
60	32	30	120	80	150	115	-1	35	//Bloody Wolf
//DevilSquare 6 Mobs										
290	32	30	122	152	151	184	-1	35	//Lizard Warrior
57	32	30	122	152	151	184	-1	35	//Iron Wheel
end

//=========================================================================================										
//================================= Icarus - =============================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	Strong	Name				
2										
69	10	30	21	39	-1	//Alquamos
69	10	30	44	27	-1	//Alquamos
69	10	30	12	27	-1	//Alquamos
69	10	30	13	38	-1	//Alquamos
69	10	30	48	40	-1	//Alquamos
69	10	30	28	28	-1	//Alquamos
69	10	30	66	37	-1	//Alquamos
69	10	30	80	41	-1	//Alquamos
69	10	30	40	34	-1	//Alquamos
69	10	30	31	37	-1	//Alquamos
69	10	30	18	31	-1	//Alquamos
70	10	30	66	68	-1	//Queen Rainer			
70	10	30	85	88	-1	//Queen Rainer			
70	10	30	80	76	-1	//Queen Rainer			
70	10	30	60	84	-1	//Queen Rainer
70	10	30	89	38	-1	//Queen Rainer
70	10	30	91	59	-1	//Queen Rainer
71	10	30	88	70	-1	//Mega Crust
71	10	30	84	47	-1	//Mega Crust
71	10	30	79	33	-1	//Mega Crust
71	10	30	58	42	-1	//Mega Crust
71	10	30	70	43	-1	//Mega Crust
71	10	30	64	30	-1	//Mega Crust
71	10	30	53	27	-1	//Mega Crust
71	10	30	93	47	-1	//Mega Crust
71	10	30	57	34	-1	//Mega Crust
71	10	30	71	33	-1	//Mega Crust
72	10	30	41	113	-1	//Phantom Knight
72	10	30	42	135	-1	//Phantom Knight
72	10	30	51	126	-1	//Phantom Knight
72	10	30	53	138	-1	//Phantom Knight
72	10	30	44	148	-1	//Phantom Knight
72	10	30	33	119	-1	//Phantom Knight
72	10	30	41	157	-1	//Phantom Knight
72	10	30	42	122	-1	//Phantom Knight
72	10	30	53	150	-1	//Phantom Knight
72	10	30	38	216	-1	//Phantom Knight
72	10	30	44	221	-1	//Phantom Knight
72	10	30	36	226	-1	//Phantom Knight
73	10	30	55	73	-1	//Drakan
73	10	30	70	78	-1	//Drakan
73	10	30	45	72	-1	//Drakan
73	10	30	35	69	-1	//Drakan
73	10	30	26	74	-1	//Drakan
73	10	30	36	79	-1	//Drakan
74	10	30	29	104	-1	//Alpha Crust
74	10	30	38	103	-1	//Alpha Crust
74	10	30	35	94	-1	//Alpha Crust
74	10	30	32	87	-1	//Alpha Crust
74	10	30	39	85	-1	//Alpha Crust
74	10	30	33	111	-1	//Alpha Crust
75	10	30	50	162	-1	//Alpha Crust
75	10	30	52	174	-1	//Alpha Crust
75	10	30	55	181	-1	//Alpha Crust
75	10	30	44	212	-1	//Alpha Crust
75	10	30	47	189	-1	//Alpha Crust
75	10	30	59	190	-1	//Alpha Crust
75	10	30	48	200	-1	//Alpha Crust
75	10	30	57	200	-1	//Alpha Crust
75	10	30	27	220	-1	//Alpha Crust
75	10	30	43	238	-1	//Alpha Crust
75	10	30	25	231	-1	//Alpha Crust
76	10	30	48	228	-1	//Dark Phoenix Shield
77	10	30	34	238	-1	//Dark Phoenix			
end

//=========================================================================================							
//================================= Blood Castle - =======================================							
//=========================================================================================							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
131	11	0	14	75	0	//Gate 1
131	12	0	14	75	0	//Gate 1
131	13	0	14	75	0	//Gate 1
131	14	0	14	75	0	//Gate 1
131	15	0	14	75	0	//Gate 1
131	16	0	14	75	0	//Gate 1
131	17	0	14	75	0	//Gate 1
132	11	0	14	95	0	//Gate 2
132	12	0	14	95	0	//Gate 2
132	13	0	14	95	0	//Gate 2
132	14	0	14	95	0	//Gate 2
132	15	0	14	95	0	//Gate 2
132	16	0	14	95	0	//Gate 2
132	17	0	14	95	0	//Gate 2
232	11	0	10	9	1	//Archangel
232	12	0	10	9	1	//Archangel
232	13	0	10	9	1	//Archangel
232	14	0	10	9	1	//Archangel
232	15	0	10	9	1	//Archangel
232	16	0	10	9	1	//Archangel
232	17	0	10	9	1	//Archangel
end							

//Blood Castle 1 Mobs (85 to 89)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
84	11	30	14	34	0	//Elite Skeleton	
84	11	30	14	38	0	//Elite Skeleton	
84	11	30	13	35	0	//Elite Skeleton	
84	11	30	13	28	0	//Elite Skeleton	
84	11	30	15	35	0	//Elite Skeleton	
84	11	30	14	33	0	//Elite Skeleton	
84	11	30	15	41	0	//Elite Skeleton	
84	11	30	14	42	0	//Elite Skeleton	
84	11	30	15	25	0	//Elite Skeleton	
84	11	30	15	23	0	//Elite Skeleton	
84	11	30	13	26	0	//Elite Skeleton	
84	11	30	13	37	0	//Elite Skeleton	
84	11	30	14	40	0	//Elite Skeleton	
84	11	30	13	39	0	//Elite Skeleton	
84	11	30	14	27	0	//Elite Skeleton	
84	11	30	14	24	0	//Elite Skeleton	
84	11	30	14	32	0	//Elite Skeleton	
84	11	30	15	45	0	//Elite Skeleton	
84	11	30	15	31	0	//Elite Skeleton	
85	11	30	13	23	0	//Orc Archer
85	11	30	15	43	0	//Orc Archer
85	11	30	13	45	0	//Orc Archer
85	11	30	15	39	0	//Orc Archer
85	11	30	15	37	0	//Orc Archer
85	11	30	13	29	0	//Orc Archer
85	11	30	15	28	0	//Orc Archer
85	11	30	13	25	0	//Orc Archer
85	11	30	13	21	0	//Orc Archer
85	11	30	14	22	0	//Orc Archer
85	11	30	15	21	0	//Orc Archer
85	11	30	13	31	0	//Orc Archer
85	11	30	15	30	0	//Orc Archer
85	11	30	15	33	0	//Orc Archer
85	11	30	14	21	0	//Orc Archer
85	11	30	13	43	0	//Orc Archer
85	11	30	15	26	0	//Orc Archer
86	11	30	15	46	0	//Elite Orc
86	11	30	15	63	0	//Elite Orc
86	11	30	15	53	0	//Elite Orc
86	11	30	13	65	0	//Elite Orc
86	11	30	13	67	0	//Elite Orc
86	11	30	15	59	0	//Elite Orc
86	11	30	13	59	0	//Elite Orc
86	11	30	15	55	0	//Elite Orc
86	11	30	13	62	0	//Elite Orc
86	11	30	13	41	0	//Elite Orc
86	11	30	15	69	0	//Elite Orc
86	11	30	13	50	0	//Elite Orc
86	11	30	15	48	0	//Elite Orc
86	11	30	13	46	0	//Elite Orc
86	11	30	14	44	0	//Elite Orc
86	11	30	15	51	0	//Elite Orc
86	11	30	14	49	0	//Elite Orc
86	11	30	15	57	0	//Elite Orc
86	11	30	14	64	0	//Elite Orc
86	11	30	14	67	0	//Elite Orc
86	11	30	13	53	0	//Elite Orc
86	11	30	15	65	0	//Elite Orc
86	11	30	15	60	0	//Elite Orc
86	11	30	13	57	0	//Elite Orc
87	11	30	13	69	0	//Spirit Beast
87	11	30	14	61	0	//Spirit Beast
87	11	30	13	55	0	//Spirit Beast
87	11	30	14	58	0	//Spirit Beast
87	11	30	14	52	0	//Spirit Beast
87	11	30	15	50	0	//Spirit Beast
87	11	30	15	66	0	//Spirit Beast
87	11	30	14	56	0	//Spirit Beast
87	11	30	14	70	0	//Spirit Beast
87	11	30	13	48	0	//Spirit Beast
87	11	30	13	63	0	//Spirit Beast
88	11	30	13	78	0	//Spirit Knight
88	11	30	14	83	0	//Spirit Knight
88	11	30	14	78	0	//Spirit Knight
88	11	30	15	78	0	//Spirit Knight
88	11	30	16	80	0	//Spirit Knight
88	11	30	15	62	0	//Spirit Knight
88	11	30	17	83	0	//Spirit Knight
88	11	30	14	90	0	//Spirit Knight
88	11	30	11	83	0	//Spirit Knight
88	11	30	15	94	0	//Spirit Knight
88	11	30	20	82	0	//Spirit Knight
88	11	30	20	88	0	//Spirit Knight
88	11	30	14	54	0	//Spirit Knight
88	11	30	14	36	0	//Spirit Knight
88	11	30	15	68	0	//Spirit Knight
88	11	30	14	47	0	//Spirit Knight
89	11	30	16	87	0	//Spirit Sorcerer
89	11	30	12	81	0	//Spirit Sorcerer
89	11	30	13	88	0	//Spirit Sorcerer
89	11	30	13	85	0	//Spirit Sorcerer
89	11	30	19	85	0	//Spirit Sorcerer
89	11	30	13	93	0	//Spirit Sorcerer
89	11	30	14	80	0	//Spirit Sorcerer
89	11	30	18	81	0	//Spirit Sorcerer
end							
// Blood Castle 2 Mobs (91 to 95)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
90	12	30	14	34	1	//Elite Skeleton	
90	12	30	14	38	1	//Elite Skeleton	
90	12	30	13	35	1	//Elite Skeleton	
90	12	30	13	28	1	//Elite Skeleton	
90	12	30	15	35	1	//Elite Skeleton	
90	12	30	14	33	1	//Elite Skeleton	
90	12	30	15	41	1	//Elite Skeleton	
90	12	30	14	42	1	//Elite Skeleton	
90	12	30	15	25	1	//Elite Skeleton	
90	12	30	15	23	1	//Elite Skeleton	
90	12	30	13	26	1	//Elite Skeleton	
90	12	30	13	37	1	//Elite Skeleton	
90	12	30	14	40	1	//Elite Skeleton	
90	12	30	13	39	1	//Elite Skeleton	
90	12	30	14	27	1	//Elite Skeleton	
90	12	30	14	24	1	//Elite Skeleton	
90	12	30	14	32	1	//Elite Skeleton	
90	12	30	15	45	1	//Elite Skeleton	
90	12	30	15	31	1	//Elite Skeleton	
91	12	30	13	45	1	//Orc Archer
91	12	30	13	23	1	//Orc Archer
91	12	30	15	43	1	//Orc Archer
91	12	30	15	39	1	//Orc Archer
91	12	30	15	37	1	//Orc Archer
91	12	30	13	29	1	//Orc Archer
91	12	30	15	28	1	//Orc Archer
91	12	30	13	25	1	//Orc Archer
91	12	30	13	21	1	//Orc Archer
91	12	30	14	22	1	//Orc Archer
91	12	30	15	21	1	//Orc Archer
91	12	30	13	31	1	//Orc Archer
91	12	30	15	30	1	//Orc Archer
91	12	30	15	33	1	//Orc Archer
91	12	30	14	21	1	//Orc Archer
91	12	30	13	43	1	//Orc Archer
91	12	30	15	26	1	//Orc Archer
92	12	30	15	46	1	//Elite Orc
92	12	30	15	63	1	//Elite Orc
92	12	30	15	53	1	//Elite Orc
92	12	30	13	65	1	//Elite Orc
92	12	30	13	67	1	//Elite Orc
92	12	30	15	59	1	//Elite Orc
92	12	30	13	59	1	//Elite Orc
92	12	30	15	55	1	//Elite Orc
92	12	30	13	62	1	//Elite Orc
92	12	30	13	41	1	//Elite Orc
92	12	30	15	69	1	//Elite Orc
92	12	30	13	50	1	//Elite Orc
92	12	30	15	48	1	//Elite Orc
92	12	30	13	46	1	//Elite Orc
92	12	30	14	44	1	//Elite Orc
92	12	30	15	51	1	//Elite Orc
92	12	30	14	49	1	//Elite Orc
92	12	30	15	57	1	//Elite Orc
92	12	30	14	64	1	//Elite Orc
92	12	30	14	67	1	//Elite Orc
92	12	30	13	53	1	//Elite Orc
92	12	30	15	65	1	//Elite Orc
92	12	30	15	60	1	//Elite Orc
92	12	30	13	57	1	//Elite Orc
93	12	30	13	69	1	//Spirit Beast
93	12	30	14	61	1	//Spirit Beast
93	12	30	13	55	1	//Spirit Beast
93	12	30	14	58	1	//Spirit Beast
93	12	30	14	52	1	//Spirit Beast
93	12	30	15	50	1	//Spirit Beast
93	12	30	15	66	1	//Spirit Beast
93	12	30	14	56	1	//Spirit Beast
93	12	30	14	70	1	//Spirit Beast
93	12	30	13	48	1	//Spirit Beast
93	12	30	13	63	1	//Spirit Beast
94	12	30	13	78	1	//Spirit Knight
94	12	30	14	83	1	//Spirit Knight
94	12	30	14	78	1	//Spirit Knight
94	12	30	15	78	1	//Spirit Knight
94	12	30	16	80	1	//Spirit Knight
94	12	30	15	62	1	//Spirit Knight
94	12	30	17	83	1	//Spirit Knight
94	12	30	14	90	1	//Spirit Knight
94	12	30	11	83	1	//Spirit Knight
94	12	30	15	94	1	//Spirit Knight
94	12	30	20	82	1	//Spirit Knight
94	12	30	20	88	1	//Spirit Knight
94	12	30	14	54	1	//Spirit Knight
94	12	30	14	36	1	//Spirit Knight
94	12	30	15	68	1	//Spirit Knight
94	12	30	14	47	1	//Spirit Knight
95	12	30	16	87	1	//Spirit Sorcerer
95	12	30	12	81	1	//Spirit Sorcerer
95	12	30	13	88	1	//Spirit Sorcerer
95	12	30	13	85	1	//Spirit Sorcerer
95	12	30	19	85	1	//Spirit Sorcerer
95	12	30	13	93	1	//Spirit Sorcerer
95	12	30	14	80	1	//Spirit Sorcerer
95	12	30	18	81	1	//Spirit Sorcerer
end							
// Blood Castle 3 Mobs (97 to 112)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
96	13	30	14	34	2	//Elite Skeleton	
96	13	30	14	38	2	//Elite Skeleton	
96	13	30	13	35	2	//Elite Skeleton	
96	13	30	13	28	2	//Elite Skeleton	
96	13	30	15	35	2	//Elite Skeleton	
96	13	30	14	33	2	//Elite Skeleton	
96	13	30	15	41	2	//Elite Skeleton	
96	13	30	14	42	2	//Elite Skeleton	
96	13	30	15	25	2	//Elite Skeleton	
96	13	30	15	23	2	//Elite Skeleton	
96	13	30	13	26	2	//Elite Skeleton	
96	13	30	13	37	2	//Elite Skeleton	
96	13	30	14	40	2	//Elite Skeleton	
96	13	30	13	39	2	//Elite Skeleton	
96	13	30	14	27	2	//Elite Skeleton	
96	13	30	14	24	2	//Elite Skeleton	
96	13	30	14	32	2	//Elite Skeleton	
96	13	30	15	45	2	//Elite Skeleton	
96	13	30	15	31	2	//Elite Skeleton	
97	13	30	13	45	2	//Orc Archer
97	13	30	13	23	2	//Orc Archer
97	13	30	15	43	2	//Orc Archer
97	13	30	15	39	2	//Orc Archer
97	13	30	15	37	2	//Orc Archer
97	13	30	13	29	2	//Orc Archer
97	13	30	15	28	2	//Orc Archer
97	13	30	13	25	2	//Orc Archer
97	13	30	13	21	2	//Orc Archer
97	13	30	14	22	2	//Orc Archer
97	13	30	15	21	2	//Orc Archer
97	13	30	13	31	2	//Orc Archer
97	13	30	15	30	2	//Orc Archer
97	13	30	15	33	2	//Orc Archer
97	13	30	14	21	2	//Orc Archer
97	13	30	13	43	2	//Orc Archer
97	13	30	15	26	2	//Orc Archer
98	13	30	15	46	2	//Elite Orc
98	13	30	15	63	2	//Elite Orc
98	13	30	15	53	2	//Elite Orc
98	13	30	13	65	2	//Elite Orc
98	13	30	13	67	2	//Elite Orc
98	13	30	15	59	2	//Elite Orc
98	13	30	13	59	2	//Elite Orc
98	13	30	15	55	2	//Elite Orc
98	13	30	13	62	2	//Elite Orc
98	13	30	13	41	2	//Elite Orc
98	13	30	15	69	2	//Elite Orc
98	13	30	13	50	2	//Elite Orc
98	13	30	15	48	2	//Elite Orc
98	13	30	13	46	2	//Elite Orc
98	13	30	14	44	2	//Elite Orc
98	13	30	15	51	2	//Elite Orc
98	13	30	14	49	2	//Elite Orc
98	13	30	15	57	2	//Elite Orc
98	13	30	14	64	2	//Elite Orc
98	13	30	14	67	2	//Elite Orc
98	13	30	13	53	2	//Elite Orc
98	13	30	15	65	2	//Elite Orc
98	13	30	15	60	2	//Elite Orc
98	13	30	13	57	2	//Elite Orc
99	13	30	13	69	2	//Spirit Beast
99	13	30	14	61	2	//Spirit Beast
99	13	30	13	55	2	//Spirit Beast
99	13	30	14	58	2	//Spirit Beast
99	13	30	14	52	2	//Spirit Beast
99	13	30	15	50	2	//Spirit Beast
99	13	30	15	66	2	//Spirit Beast
99	13	30	14	56	2	//Spirit Beast
99	13	30	14	70	2	//Spirit Beast
99	13	30	13	48	2	//Spirit Beast
99	13	30	13	63	2	//Spirit Beast
111	13	30	13	78	2	//Spirit Knight
111	13	30	14	83	2	//Spirit Knight
111	13	30	14	78	2	//Spirit Knight
111	13	30	15	78	2	//Spirit Knight
111	13	30	16	80	2	//Spirit Knight
111	13	30	15	62	2	//Spirit Knight
111	13	30	17	83	2	//Spirit Knight
111	13	30	14	90	2	//Spirit Knight
111	13	30	11	83	2	//Spirit Knight
111	13	30	15	94	2	//Spirit Knight
